id,bgcolor,body,accessory,head,glasses
0,d5d7e1,body-peachy-a,accessory-checkers-big-green,head-flower,glasses-square-frog-green
1,e1d7d5,body-computerblue,accessory-glasses-logo-sun,head-porkbao,glasses-square-yellow-orange-multi
2,e1d7d5,body-hotbrown,accessory-matrix-white,head-moose,glasses-square-honey
3,d5d7e1,body-red,accessory-hoodiestrings-uneven,head-weed,glasses-square-yellow-orange-multi
4,d5d7e1,body-rust,accessory-tie-black-on-white,head-flower,glasses-square-green-blue-multi
5,e1d7d5,body-grayscale-9,accessory-taxi-checkers,head-cloud,glasses-square-yellow-orange-multi
6,d5d7e1,body-teal-light,accessory-chain-logo,head-box,glasses-square-smoke
7,d5d7e1,body-peachy-a,accessory-text-yolo,head-orca,glasses-square-black-rgb
8,e1d7d5,body-magenta,accessory-scarf-clown,head-lock,glasses-square-teal
9,e1d7d5,body-teal-light,body-gray-scale-1,head-chainsaw,glasses-square-black
10,d5d7e1,body-cold,accessory-stripes-and-checks,head-scorpion,glasses-square-fullblack
11,d5d7e1,body-grayscale-1,accessory-none,head-scorpion,glasses-square-watermelon
12,e1d7d5,body-peachy-a,accessory-txt-cc,head-cow,glasses-square-yellow-orange-multi
13,d5d7e1,body-slimegreen,accessory-bling-mask,head-cottonball,glasses-square-black
14,e1d7d5,body-bege-bsod,accessory-txt-pi,head-factory-dark,glasses-square-fullblack
15,d5d7e1,body-computerblue,accessory-glasses-logo-sun,head-rabbit,glasses-square-magenta
16,e1d7d5,body-gold,accessory-txt-dope-text,head-noodles,glasses-hip-rose
17,d5d7e1,body-darkpink,accessory-pocket-pencil,head-chain,glasses-square-smoke
18,e1d7d5,body-grayscale-7,accessory-belly-chameleon,head-rangefinder,glasses-square-yellow-saturated
19,e1d7d5,body-darkpink,accessory-lines-45-rose,head-smile,glasses-square-red
20,e1d7d5,body-grayscale-9,accessory-robot,head-macaroni,glasses-square-black
21,e1d7d5,body-bege-crt,accessory-bling-anvil,head-doughnut,glasses-square-blue-med-saturated
22,e1d7d5,body-redpinkish,accessory-txt-noun-multicolor,head-box,glasses-square-guava
23,d5d7e1,body-purple,accessory-txt-yay,head-cottonball,glasses-square-fullblack
24,e1d7d5,body-grayscale-9,accessory-txt-doom,head-panda,glasses-square-black
25,e1d7d5,body-cold,accessory-txt-io,head-hotdog,glasses-square-pink-purple-multi
26,d5d7e1,body-grayscale-8,accessory-safety-vest,head-maze,glasses-square-black
27,e1d7d5,body-magenta,accessory-checker-RGB,head-pumpkin,glasses-square-black
28,d5d7e1,body-orange,accessory-flash,head-icepop-b,glasses-square-black-eyes-red
29,d5d7e1,body-bege-bsod,accessory-glasses,head-cow,glasses-square-orange
